psoc_code,occupation_title
1111,legislators
1111,city/municipal councilor
1111,congressman
1111,member of the barangay council (sangguniang pambarangay)
1111,member of the provincial board (sangguniang panlalawigan)
1111,senator
1111,sangguniang bayan member
1111,sangguniang kabataan
1111,municipal councilor
1111,sanguniang kabataan
1111,sk federation president
1111,barangay council
1111,provincial board member
1111,city councilor
1111,sanguniang bayan
1111,legislative researcher
1112,senior government officials
1112,administrator/deputy administrator
1112,ambassador
1112,attache
1112,city administrator
1112,consul general
1112,director general/deputy director general/ assistant director general
1112,executive director/deputy executive director
1112,government chief of staff
1112,government civil registrar
1112,government commission chairperson
1112,government director/assistant director
1112,governor/deputy governor of the bangko sentral ng pilipinas
1112,governor/vice governor
1112,mayor/vice mayor
1112,national treasurer
1112,ombudsman
1112,police inspector-general
1112,postmaster general
1112,president/vice president of the republic of the philippines
1112,solicitor general/associate solicitor general
1112,police chief constable
1112,police commissioner
1112,municipal civil registrar
1112,deputy administrator
1112,public consultant
1112,supervising administrative officer
1112,municipal vice mayor
1112,municipal mayor
1112,vice mayor
1113,traditional chiefs and head of villages
1113,barangay chairperson/captain
1113,barangay kagawad
1113,sangguniang kabataan (sk) chairperson
1113,tribe chieftain/head
1113,barangay captain
1113,barangay chairman
1113,sk chairman
1113,sk chairperson
1113,barangay councilor
1113,sk councilor
1113,sk kagawad
1113,purok chairman
1113,purok leader
1113,indigenous people's mandatory rep (ipmr)
1114,senior officials of special interest organization
1114,economic-interest organization senior official
1114,employers' organization director-general
1114,employers' organization president
1114,employers' organization secretary-general
1114,employers' organization senior official
1114,humanitarian organization senior official
1114,labor organization senior official
1114,political party leader
1114,political party senior official
1114,special-interest organization senior official
1114,trade union chairperson
1114,trade union president
1114,trade union secretary-general
1114,trade union senior official
1120,managing directors and chief executives
1120,chief operation officer
1120,corporate director
1120,corporation chief executive
1120,managing director
1120,regional manager
1120,university chancellor
1120,chief executive officer
1120,acting general manager
1120,company head
1120,officer in-charge
1120,assistant director
1120,provincial science and technology directors
1120,land management officer
1120,consultant
1120,office head
1211,finance manager
1211,accounting manager
1211,administration manager
1211,budgeting manager
1211,company secretary
1211,compensation manager
1211,finance comptroller
1211,investment manager
1211,municipal budget officer
1211,lending manager
1211,department head dilg
1211,admin manager
1211,assistant manager
1211,finance head
1211,cooperative manager
1211,accounting head
1211,human resource managers
1211,assistant training manager
1212,benefits/rewards manager
1212,employee welfare manager
1212,industrial relations manager
1212,labor relations manager
1212,learning and development manager
1212,personnel/human resource manager
1212,recruitment manager
1212,training manager
1212,human resources manager
1212,human resource head
1212,human resource personnel
1212,human resource specialist
1212,human resource
1212,equipment service supervisor
1213,policy and planning managers
1213,corporate compliance manager
1213,corporate planning manager
1213,corporate quality assurance manager
1213,corporate services manager
1213,policy manager
1213,strategic planning manager
1213,planning manager
1213,surveying office manager
1219,business services and administration managers not elsewhere classified
1219,administrative services manager
1219,business services manager
1219,charging facility manager
1219,cleaning manager
1219,cleaning services manager
1219,cleaning services managing-proprietor
1219,corporate service manager
1219,facilities manager
1219,personal care manager
1219,personal care services managing-proprietor
1219,safety manager
1219,utility manager
1219,properties owner
1219,business proprietor
1219,house rental owner
1219,spa manager
1219,lessor-land owner
1219,rental building owner
1219,room for rent owner
1219,lessor/landlord
1219,rent owner
1219,boarding house operator
1219,carwash owner
1219,rental chair owner
1221,sales and marketing managers
1221,consumer credit manager
1221,customer services manager
1221,marketing director
1221,marketing manager
1221,sales director
1221,sales manager
1221,store manager
1221,telemarketing manager
1221,branch assistant manager
1221,customer credit manager
1221,operation manager
1221,marketing personnel
1221,condo sales representative
1221,marketing and sales agent
1221,businessman
1221,sales marketing
1221,general manager
1222,advertising and public relations managers
1222,advertisement and promo assistant manager
1222,advertising manager
1222,advertising director
1222,circulation manager
1222,communication development manager
1222,promotions department manager
1222,public relations manager
1223,research and development managers
1223,product development manager
1223,research and development manager
1223,research manager
1223,research project manager
1223,education research specialist
1223,school education research assistant
1223,school university research associate
1223,researcher
1311,agricultural and forestry production managers
1311,agricultural farm manager/overseers
1311,agricultural farm manager
1311,agricultural general manager
1311,agricultural production and operations manager
1311,chicken farm operations manager
1311,forestry general manager
1311,game fowl farm operations manager
1311,livestock farm operations manager
1311,plantation manager
1311,poultry farm operations manager
1311,ranch manager
1311,palay farm owner
1311,farm manager
1311,root crops farm manager
1311,farm owner
1312,aquaculture and fisheries production managers
1312,aquaculture production manager
1312,fishing general manager
1312,fishing operations manager
1312,fishing shore captain
1312,trawler manager
1312,fish pond manager
1312,fish pond owner
1312,deep sea fishing operator
1312,fishing boat operator
1321,manufacturing managers
1321,food production managers
1321,manufacturer
1321,manufacturing general manager
1321,manufacturing manager
1321,production and operations / manufacturing manager
1321,manufacturing production manager
1321,welding shop owner
1321,water refilling station owner
1321,bakery owner
1321,furniture shop owner
1321,rice milling manager
1321,production manager
1321,delicacies manufacturer
1321,pastries vendor
1321,senior sales manager
1321,carton box maker
1321,printing service owner
1321,wholesale of rags
1321,furniture business owner
1321,water refilling manager
1321,lamber yard manager
1322,mining managers
1322,mine manager
1322,mining equipment manager
1322,mining production manager
1322,oil and gas exploration manager
1322,oil and gas extraction production manager
1322,quarry manager
1322,quarry production manager
1322,sand and gravel
1322,mining manager owner
1322,gold mining manager owner
1322,gold mining owner
1323,construction managers
1323,civil engineering project manager
1323,construction manager
1323,construction project manager
1323,construction site manager
1323,demolition manager
1323,project builder
1323,electrical contractor
1323,aluminum contractor manager
1323,finance manager construction
1323,construction supply owner
1323,branch construction manager
1323,heavy equipment & cons materials owner
1323,construction contractor
1323,building construction contractor assistant
1323,construction worker
1324,"supply, distribution and related managers"
1324,assistant shipping manager
1324,bus station manager
1324,distribution manager
1324,electric vehicle fleet manager
1324,freight forwarding manager
1324,imports and exports manager
1324,logistics manager
1324,material resources manager
1324,port captain
1324,public utility vehicle (puv) operations manager
1324,purchasing manager
1324,railway station manager
1324,railway station master
1324,shipping manager
1324,supply chain manager
1324,supply manager
1324,transport general manager
1324,transport network vehicle service (tnvs) vehicle manager
1324,transport operations manager
1324,truck-for-hire operations manager
1324,warehouse manager
1324,hauling and trucking svcs manager
1324,tricycle operator
1324,van operator
1324,bangka owner
1324,puv operator
1324,medicine distributor
1324,supply assistant manager
1324,trucking operator
1324,operational manager
1324,procurement manager
1324,delivery manager
1330,information and communications technology service managers
1330,application development manager
1330,chief information officer
1330,data operations manager
1330,data processing manager
1330,electronic data processing (edp) manager
1330,ict development manager
1330,information and communication technology manager
1330,information systems director
1330,information technology manager
1330,internet service provider manager
1330,management information system (mis) manager
1330,network manager
1330,telecommunications services manager
1330,intermet cafe attendant
1330,information security analyst
1330,computer tech/owner
1330,call center manager
1330,it engineer
1330,computer shop owner
1341,child care service managers
1341,child care center manager
1342,health service managers
1342,chief public health officer
1342,clinical director
1342,community health care coordinator
