"","ref","psoc_code","desc_psoc","psic_code","psic_desc","cow_code","cow_desc","psic_3digit","psic_group_code","psic_group_desc"
"1","11084132",110,"Commissioned Armed Forces officers","8413","Regulation of and contribution to more efficient operation of businesses",2,"Gov't/Gov't Corporation","841","841","Education"
"2","11084222",110,"Commissioned Armed Forces officers","8422","Defense activities",2,"Gov't/Gov't Corporation","842","842","Provision of services to the community as a whole"
"3","21084132",210,"Non-commissioned Armed Forces officers","8413","Regulation of and contribution to more efficient operation of businesses",2,"Gov't/Gov't Corporation","841","841","Education"
"4","21084222",210,"Non-commissioned Armed Forces officers","8422","Defense activities",2,"Gov't/Gov't Corporation","842","842","Provision of services to the community as a whole"
"5","31084132",310,"Armed Forces occupations, other ranks","8413","Regulation of and contribution to more efficient operation of businesses",2,"Gov't/Gov't Corporation","841","841","Education"
"6","31084222",310,"Armed Forces occupations, other ranks","8422","Defense activities",2,"Gov't/Gov't Corporation","842","842","Provision of services to the community as a whole"
"7","111184112",1111,"Legislators","8411","General public administration activities",2,"Gov't/Gov't Corporation","841","841","Education"
"8","111284112",1112,"Senior government officials","8411","General public administration activities",2,"Gov't/Gov't Corporation","841","841","Education"
"9","111384112",1113,"Traditional chiefs and heads of villages	","8411","General public administration activities",2,"Gov't/Gov't Corporation","841","841","Education"
"10","111484112",1114,"Senior officials of special-interest organizations","8411","General public administration activities",2,"Gov't/Gov't Corporation","841","841","Education"
"11","111494111",1114,"Senior officials of special-interest organizations","9411","Activities of business and employers membership organizations",1,"Private Establishment","941","941","Activities of business, employers and professional membership organizations"
"12","111494201",1114,"Senior officials of special-interest organizations","9420","Activities of trade unions",1,"Private Establishment","942","942","Activities of trade unions"
"13","1114949212",1114,"Senior officials of special-interest organizations","9492","Activities of political organizations",1,"Private Establishment","949","949","Activities of other membership organizations"
"14","1114949212",1114,"Senior officials of special-interest organizations","9492","Activities of political organizations",2,"Gov't/Gov't Corporation","949","949","Activities of other membership organizations"
